chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds17	266.39	253.07	95.25	506.99	655.06	1966.67	100.66	74.69	27.89	53.68	71.15	79.26	65.84	55.76	189.92	150.68	91.4	64.42	36581.52	154.7	17.35	10.25	21683.47	15.42	9.56	23107.19	6.58	9.55	42.35	29.82	41.03	31.34
cds172	77.04	290.49	49.37	138.31	839.23	987.25	168.87	76.33	25.44	102.29	75.52	73.95	81.19	76.8	203.95	151.67	73.54	57.69	14244.29	86.89	8	17.67	8811.51	4.92	6.14	8941.86	3	6.3	34.52	26.08	35.13	34.66
cds173	6.68	40.07	27.16	94.17	173.2	341.19	44.76	31.18	10.78	37.05	35.82	34.74	23.98	30.84	57.6	41.19	34.39	22.42	5055.2	80.19	2.5	16.74	5927.3	4.95	3.56	3702.55	2.9	4	14.19	7.03	9	6.23
cds174	33.77	126.42	134.65	929.09	5278.38	6645.81	578.55	373.51	214.35	658.03	463.91	613.21	233.75	225.02	327.23	378.13	270.99	288.36	119653.27	425.16	104.51	189.18	150345.2	38	33.83	142069.52	6.45	12.94	77.69	90.13	59.59	70.9
cds175	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	3	0	0.62	110.98	0	0	0	159.72	0.08	1.15	179.09	0	0	0.16	0	0	0.53
cds176	0	0	0	0	0	63.5	3.5	0.51	0	0	0	0	0	0	4.6	3.45	0	4	490.29	0.91	0	0	684.22	1.53	1.68	446.17	0	0	1.74	0	0	4.15
cds177	0	0	0	0	0	0	0.52	0.43	0	0	0	1	0	0.75	2.56	1.36	1	0	388.88	0.41	3.24	0	392.84	0	0.51	425.36	0	0	0	0.19	0.74	1.68
cds178	3	7.03	49.52	81.15	764.53	761.26	35.89	20.19	9.5	39.67	16	18.33	13.49	14.66	26	27.96	34.08	15.5	9296.85	49.63	0	9	4063.56	2	4	4315.39	3	10	11.3	5.04	11.24	5.88
cds179	487	24.66	71.3	21.95	700.01	1046.84	5.4	10.53	4.21	12.23	5.71	15.51	8.14	11.39	24.04	20.92	8.07	11.66	3521.18	18.36	1	2.79	1942.51	2	0.67	1673.85	2.88	3.96	11.24	6.37	5.83	7.78
cds181	0	3.26	26.39	10.31	224.74	48.09	43.23	15.37	3.85	28.77	16.24	12.78	10.28	7.18	36.2	22.13	12.45	9.52	3791.78	19.52	2	8	2412.62	2	2	1958.62	2.24	2.28	5.14	4.97	7.77	2.66
cds182	1304.62	2582.18	682.63	2619.26	8348.09	9205.5	602.8	434.01	171.92	321.63	476.94	558.14	575.18	519.26	1221.8	981.66	255.77	217.83	57152.35	623.37	62.16	124.74	33311.03	18.62	37.91	43319.34	18.43	28.3	157.49	158.17	83.39	123.38
cds183	1047.65	1933.11	307.21	1671.28	5537.03	6634.67	361.9	204.44	75.02	185.52	155.53	200.37	204.79	216.37	546.58	397.02	176.4	71.83	51270.55	267.52	25.56	61.16	19707.68	11.34	15.27	31257.85	11.48	17.91	86.43	100.04	45.05	145.33
cds184	71	2.92	18.7	112.82	171.61	368.35	13.04	6.43	3.55	5	2.73	9.73	13.25	13.59	19.07	16.03	1	11.19	1919.32	13.78	2.67	2.19	2384.44	0	0.99	2875.91	1	1	3.88	5.72	7.98	1.42
cds186	0	0	0	0	16.13	70.25	6	8.04	3.81	5.18	1.82	2.47	3.87	3.58	11.92	5.6	1.72	2.7	693.41	1.93	2	0.97	359.45	0	0	606.43	0	0.93	2.22	2.27	2.53	1.57
cds187	1373.46	1303.99	452.44	1466.18	6641.16	8819.74	454.76	268.8	153.04	376.06	307.62	359.04	383.82	361.6	838.71	600.31	266.34	195.83	89100.64	467.45	53.5	51.99	37481.24	21.11	25.84	43579.42	24.99	33.59	143.81	158.9	92.35	139.82
cds188	906.65	894.59	338.82	1290.16	4112.32	5340.43	289.06	144.11	98.49	148.43	251.48	255.32	258.53	252.9	696.35	440.33	78.15	59.27	20821.86	240.4	11.97	42.34	16564.82	12.97	15.9	16808.18	3.95	6.15	77.14	77.27	40.02	83.53
cds189	2813.74	4449.87	1287.66	2363.65	12369.47	17138.1	499.28	352.96	147.63	322.21	427.13	520.34	523.94	538.74	1202.24	968.3	304.67	161.57	89891.79	510.12	144.97	280.27	35772.5	25.02	54.57	89092.54	18.54	45.19	239.65	363.77	108.77	318.76
