darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds929	6.67	7	9	1	5.24	2.87
cds93	109.85	61.74	29.38	17.48	17.91	10.23
cds931	0.93	0.3	0.09	0.41	0.72	0
cds932	40.19	37.57	33.72	31.71	13.69	16.45
cds933	241.69	221.63	183.38	154.98	78.63	117.55
cds934	172.23	53.69	112.07	116.36	59.07	144.13
cds935	35.56	21.71	21.2	6.83	5.16	4.36
cds936	16.19	16.54	8.61	19.34	6.2	6.23
cds937	35.17	8.13	18.72	33.94	16.61	21.01
cds938	156.02	86.73	109.74	58.01	19.79	104.67
cds939	42.41	24.64	42.68	36.46	27.33	49.21
cds94	22.55	24.44	6.42	6.63	2.18	13.38
cds940	1.1	0	0	0	0	1.25
cds941	0	0	1	0	0	0.58
cds942	2.5	6	7.6	6.05	6	5.08
cds943	29.62	22.4	39.78	43.18	20.49	37.67
cds944	45.2	36.22	35.68	21.48	10.36	94.13
cds945	643.05	469.51	374.86	396.17	283.76	569.56
cds946	25.55	14	32.57	33.27	14	37.37
cds947	100.37	86.08	120.94	105.03	59.56	118.71
cds948	31.04	12.57	13.05	4.69	8.73	21.2
cds949	59.13	33.42	20.49	38.52	12.4	17.98
cds95	5.29	5.95	3.92	5.45	4.04	18.66
cds950	42.06	6.16	24.82	42.9	16.05	37.7
cds951	39.97	18.71	38.72	35.34	8.61	43.15
cds952	208.62	202.8	126.06	98.51	69.32	192.07
cds953	22.02	20.79	16	9.31	6	18.71
cds954	23.21	10.86	11.45	25.34	13.48	16.96
cds955	24.57	14.6	23.18	33.83	28.7	44.63
cds956	27.55	36.33	26.81	8.52	0.83	22.85
cds957	32.4	11.79	20.31	6.72	5.49	14.17
cds958	22.02	13.01	16.15	22.82	17.42	7.56
cds959	2.8	0	5.25	2.36	0	3.94
cds96	313.02	299.7	163.61	142.01	110.93	180.29
cds960	151.75	92.01	101.21	27.23	33.62	61.37
cds961	217.45	162.32	129.6	80.18	44.57	87.68
cds962	99.13	39.88	40.93	20.03	12.27	34.33
cds963	68.37	48.09	22.15	19.34	25.85	10.75
cds964	10.96	5.49	3.44	3.32	0.88	1
cds965	0.75	0.47	0.49	0.97	0.5	0
cds966	27.01	15.81	16.43	19.31	9.86	22.97
cds967	33.04	11.79	24.78	17.93	6.87	20.02
cds968	134.44	72.12	115.96	90.52	68.84	92.3
cds969	14.24	4.55	15.91	0	0	10.82
cds97	321.95	202.81	260.51	89.17	75.47	230.74
cds971	118.95	54.99	56.45	36.19	37.34	55.42
cds972	83.49	34.54	57.44	49.07	30.59	45.12
cds973	98.2	39.45	43.95	34.35	26.22	61.47
cds974	51	25.41	27.18	41.25	22.85	59.75
cds975	35.37	18	39.5	65.6	51.05	55.5
cds976	40.62	39.08	17.03	10.17	13.56	15.14
cds978	10.93	4.63	9.26	5.16	5.73	1
cds979	187.04	123.01	132.18	109.49	44.26	107.44
cds98	0.8	0.22	0.52	0.33	0.56	0.67
cds980	122.96	102.21	64.31	42.96	19.31	43.46
cds981	4.96	3.2	8.97	2.9	0	3.91
cds982	318.15	189.87	118.63	72.29	46.31	85.66
cds983	361	199.57	172.02	90.31	95.74	184.73
cds984	129.94	115.46	107.1	78.97	18.59	100.55
cds985	34.79	9	23.93	26.78	15.76	33
cds986	9.41	7.22	9.01	3.91	1	2.99
cds987	21.33	14.74	10.85	7.68	6.56	17.11
cds988	49.11	15.28	25.05	5.05	2	32.65
cds989	228.68	177.52	177.03	94.65	128.59	193.91
cds99	0.5	0	0	0	1.42	0.47
cds990	14.86	10.02	24.66	12.32	5.06	16.12
cds991	10.11	6.36	7.15	3.61	4.8	6.59
cds992	11.82	6.41	7.51	11.54	7.46	9.92
cds993	408.8	328.71	246.31	209.15	200.18	248.6
cds994	122.26	103.24	61	20.01	27.03	93.61
cds995	955.99	611.43	599.6	823.89	711.07	849.28
cds996	307.61	192.33	150.09	121.51	110.11	247.97
cds997	33.64	7.68	14.49	17.14	1.89	7.58
cds998	141.07	63.87	72.55	32.95	31.64	68.65
cds999	7.86	18.48	16.3	9.24	10.6	9.22
