chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds137	1032.45255911861	2386.5550350932	1671.36593934361	2228.3602961914	1633.61953296559	1960.81881589721	907.584679063418	830.60272219178	1123.19620382311	824.653628897246	1462.40272516821	1587.31178693388	2295.40921834929	1781.26852528586	1671.63661863215	1683.86018516072	2260.64517709294	2321.12594774825	3300.64909110316	1902.45461515093	1472.64572114552	1575.42052273969	2384.01613739762	2052.38818232136	1759.934000751	2577.52969785127	3053.74547078325	2685.74556641794	1329.08278892668	2061.06479003647	1695.50446492771	1704.08076465711
cds139	316.545169640643	631.378242978464	492.148012823694	589.354500437723	147.959458328268	356.867976245404	211.989870585298	111.563926317006	168.0908415739	361.701196075074	243.832038982841	228.325105955279	365.353249972453	252.783375716956	335.128543892222	298.928262362098	607.565327749444	769.941448995906	714.27638520066	440.73496711052	462.403899451636	947.217429274228	485.578193122827	1032.70520407527	278.83994853461	754.049530897001	1015.60950964671	845.173622914978	365.266067848737	316.99751202731	470.449483281752	240.476203763109
cds14	6.76699887592824	228.485808988124	292.643671925445	328.831798812684	332.967609470101	222.705903587981	448.926984541722	410.922026469736	265.479080843093	434.784166819764	386.49336473301	242.5627388441	294.362454261262	353.822189174139	304.671104802055	289.178622654953	139.511731215494	125.224655310605	175.411785567187	194.436526031056	240.731721301774	210.213994668132	176.310455252659	197.465009330306	159.952131997882	190.052319267981	71.3373493372479	166.224170967601	343.204412858122	225.902598588587	289.540868402605	210.896690465814
cds140	1941.75373958983	383.993673654675	185.086658712936	72.4354021785083	290.61465530861	301.775874412605	701.929212513054	818.376949563851	885.56239801605	802.514408344687	422.668872947053	508.615656022261	275.898019295942	412.339372215436	383.398546828819	346.069809794173	594.344317443384	522.923547651345	384.519419809367	685.207333543639	109.506271926577	337.865144397093	257.947775722826	80.8422388279341	374.196883932993	292.584244031128	889.308508552398	825.133282391078	450.198336225239	287.810696630622	421.523315452721	503.375315240589
cds143	378.413377279373	1036.79525561205	699.020962854426	554.721695393386	475.915179530367	472.010994403477	387.181643530508	338.624110936044	501.211011389033	561.585753818653	466.80224492741	469.001904527953	362.203652989932	325.774802741699	402.989463995009	310.829259885569	242.229536017095	243.903803494486	384.295158506935	144.800421028377	431.451914295644	256.131728580727	263.658309504268	94.6448600823002	475.470188104705	240.823150468857	531.619046773693	144.786984780745	434.174336905858	502.65502016995	522.790018342072	581.67512181253
cds144	1284.57402234232	1933.27098649931	1499.19964446726	1890.58880789861	1597.72924557315	1611.39470255547	1546.81060456052	1871.73263839007	1300.60833648745	1747.35468062733	1544.39886250905	1291.45647174448	1278.11497696968	1172.10224566733	1120.71001372208	1177.0661608834	1086.72426778101	882.223236042352	1041.17675787908	901.977436902933	808.984875437436	747.402022294053	858.798447460755	1214.64135576659	512.444360624137	840.388999867493	1356.21283032398	865.43527918733	1606.83947665396	1121.76820647221	2048.02250070035	1476.63334333828
cds145	4327.77444335557	365.072479308404	1265.88582980479	1284.60697415686	472.018631406979	608.927529174589	254.983972746071	265.707779780357	221.623578307892	303.391883308308	223.747122642175	360.064220431446	309.479596491343	189.998099489406	258.757625607577	326.650698582861	239.775323022762	181.628420305872	371.924824834435	251.342402150214	242.673350811958	194.078385843325	209.434770944357	142.782719519972	214.949229892114	291.494771643766	163.506822919521	110.129797733747	552.851412714777	408.566559767156	700.172716722331	207.149990081083
cds146	1949.99357472293	2347.69546104928	1767.33490018667	1272.27081232028	927.517133838275	814.327808112809	698.197940647864	770.223206489019	581.852038929533	607.239550778492	555.180249727424	413.168513655377	708.493067413503	763.444045023238	787.490626680612	733.663326677313	918.617782989466	967.471024549208	930.453467373423	1170.12055217093	1090.88138168012	662.370749103993	787.50415913371	361.695193564032	941.053059727892	704.57957316215	1601.25439730346	851.058812914542	1890.94176082258	1513.82277726174	1471.79740953145	1720.32822458793
cds148	132.788016078066	12.8357111304733	152.120185205103	6.15855631034031	142.107076325042	128.278885875391	102.229002164075	61.0778850055914	167.560353201483	170.548954491709	203.282022095445	70.6441633226583	65.0582085426683	123.46150845946	207.630527055038	131.072095808738	202.427365820583	223.38805036341	164.785590583543	226.380499945912	119.289141558436	103.95021172379	217.772084332481	285.831796314391	139.408159015248	178.013198554789	254.51715314391	584.158223200846	153.951742158668	186.48184300621	498.488107511826	139.636063229092
cds149	16.2870447619571	412.10276979847	235.193029026576	288.247959597939	366.375383087909	400.14910101893	395.995606380612	339.463673035829	360.409023002652	444.789216047201	367.961280311591	342.132671212718	418.459797229674	310.245210304898	287.238039812809	286.075716112727	403.769589297414	355.39083647387	241.658694129173	318.551094784544	388.364571167438	186.618698537127	293.305402010051	442.313215898158	250.800177173587	240.494568790237	503.346772139353	423.531139527785	338.719785605731	235.210208389136	356.231127708646	266.54005939747
cds15	1024.26011094417	717.228282556659	834.205336349675	859.597148686305	661.339018489621	750.535853450144	755.911666263591	757.604552618659	840.93556529117	835.477704273037	643.419168964909	581.700297607035	764.548231374958	630.545949069735	510.486442308093	526.995023825122	512.283720567867	489.805248231512	625.695787892599	472.318076483139	537.937261881979	612.693963397482	496.697666791612	345.810186888764	613.373653179193	765.361540194987	549.689292480524	542.609903584856	621.335695355438	487.914693358218	753.27656505927	502.985710628625
