luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.280	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.281	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.282	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.283	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.284	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.285	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.286	0.5	0	0.5	0	0	0	0.5	0	0.5	0	0	0
fig|82301.12.peg.287	0	0.5	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.288	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.289	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.29	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.290	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.291	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.292	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.293	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.294	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.295	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.296	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.297	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.298	1	0.5	1	2	0	0	0	0	1	0	0	0
fig|82301.12.peg.299	0	0	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.3	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.30	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.300	1	0.59	0.5	1	0	0	0	0	0.5	0.6	0	0
fig|82301.12.peg.301	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.302	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.303	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.304	0	0.5	0	0	0	0	0	0	0	0.5	0	0
fig|82301.12.peg.305	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.306	6.42	8.5	4.5	4.5	0	0	0	1	22.5	18.5	0	0
fig|82301.12.peg.307	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.308	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.309	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.31	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.310	0	0	0	0	0	0	0	0	0.5	1	0	0
fig|82301.12.peg.311	0	0	0	0	0	0	0	0	1	0	0	0
fig|82301.12.peg.312	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.313	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.314	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.315	0	0	0	0.1	0	0	0	0	0	0.08	0	0
fig|82301.12.peg.316	1	0.5	0	0.78	0	0	0	0.5	1	1.25	0	0
fig|82301.12.peg.317	0	0	0	0	0	0	0	0	0	0	0	0
