luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.476	0.45	0.92	0.5	2.81	3.5
fig|82301.12.peg.477	0.5	1	1.99	18.02	66.39
fig|82301.12.peg.478	1	2	7.49	18.36	67.68
fig|82301.12.peg.479	0	0	0.55	4.25	6.71
fig|82301.12.peg.48	0	2.5	1.79	6.77	29.97
fig|82301.12.peg.480	0	0	0.13	0.92	7.54
fig|82301.12.peg.481	0	1.5	4.97	10.19	53.42
fig|82301.12.peg.482	0	0	1.98	7.15	13.75
fig|82301.12.peg.483	0.74	0	4.68	21.12	59.89
fig|82301.12.peg.484	0.5	0	0	4.34	13.8
fig|82301.12.peg.485	0	0	0	0.99	2.69
fig|82301.12.peg.486	0	0	0.03	0.34	4.96
fig|82301.12.peg.487	0	0	0.48	0.5	32.79
fig|82301.12.peg.488	3	1.24	9.89	24.16	46.9
fig|82301.12.peg.489	1.5	1.17	8.54	35.51	47.11
fig|82301.12.peg.49	0	0	0.5	0	2.87
fig|82301.12.peg.490	1.46	0	3	12	38
fig|82301.12.peg.491	0.5	0.5	3.5	7	34.34
fig|82301.12.peg.492	0	0.65	0	0	1
fig|82301.12.peg.493	0	0	0.5	0.5	3.87
fig|82301.12.peg.494	0	1.5	6.5	16.5	31.17
fig|82301.12.peg.495	0	0	1.5	4.5	28.34
fig|82301.12.peg.496	0.5	0	0.5	1.59	7.8
fig|82301.12.peg.497	0	0	0	3.39	19.78
fig|82301.12.peg.498	0	1.5	13	45.43	82.85
fig|82301.12.peg.499	0	0	0	0.56	3.23
fig|82301.12.peg.5	2.32	2.5	11.27	30.64	73.64
fig|82301.12.peg.50	0.5	0	10.93	47.24	103.68
fig|82301.12.peg.500	1	3	6.5	24.43	82.6
fig|82301.12.peg.501	0.5	1.5	1.33	9.8	22.31
fig|82301.12.peg.502	0	2	3.5	12	25.45
fig|82301.12.peg.503	0	0	0	0	0
fig|82301.12.peg.504	0.08	0	1	1.63	12.5
fig|82301.12.peg.505	0.38	0	1.5	7.02	10.15
fig|82301.12.peg.506	0	0	6	13.32	65.39
fig|82301.12.peg.507	0.5	0	2	10	51
fig|82301.12.peg.508	0.5	0	2	7.36	15.44
fig|82301.12.peg.509	0	0	1.88	4.5	33.5
fig|82301.12.peg.51	0	0	0.33	2.27	5.49
fig|82301.12.peg.510	0.5	1.5	2.61	5.57	22.55
fig|82301.12.peg.511	0.5	1.5	12.27	34.27	79.68
fig|82301.12.peg.512	1.5	2	8	35.3	95.46
fig|82301.12.peg.513	1	1.46	5	20.94	78.24
fig|82301.12.peg.514	0.5	0.21	5.5	17.89	78.32
fig|82301.12.peg.515	0	4.5	7	17.08	27.54
fig|82301.12.peg.516	0	0	0	0.34	8.63
fig|82301.12.peg.517	0	3	0	0	2.71
fig|82301.12.peg.518	0.5	9	9.5	28.62	47.59
fig|82301.12.peg.519	1.5	0	7	25.97	68.27
fig|82301.12.peg.52	0.02	0	0.8	2.53	1.7
